,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1
bindSC-louvain,Embedding,9026.0,0.904890421759122,0.8681516998284063,0.9117958861345399,0.9535919502759412,0.18958853049437632,0.5579228725201157,0.5030685353734485,0.7420671599894423,0.7136028809273491,0.9884747820252625,0.9967870407742245,0.585312028725942,0.5761032927781343
CiteFuse-louvain,Graph,9026.0,1.0,1.0,0.11518437386618295,0.0,0.0,-1.616198915343812e-15,-2.287717763707675e-12
CiteFuse-louvain,Graph,9026.0,1.0,1.0,0.0,0.0,-1.616198915343812e-15,-2.287717763707675e-12
MaxFuse-louvain,Embedding,9026.0,0.9002226762612637,0.8978262286138468,0.9410392961285619,0.9310462461514882,0.25912869076106665,0.46809579683865904,0.4602997866949494,0.7338836936547855,0.7059969601795836,0.9883879505624612,0.9941926007215768,0.5629799092809359,0.5466476682107896
MOFA2-louvain,Embedding,9026.0,0.8439244694525199,0.8395773321520797,0.814652491577573,0.8865901823968827,0.1774295396036516,0.35977863949260996,0.33129232775010675,0.6647742588003892,0.6357901393122998,0.9856445682276072,0.996131982334851,0.6084775726000468,0.5477508861571551
multigrate_batch-louvain,Embedding,9026.0,0.8293475123518206,0.9077418883624911,0.854519560720303,0.8954617234103525,0.43006778952387104,0.4951119343526531,0.4684574157570371,0.7447198163352268,0.696976269187548,0.9893439601662245,0.9962710064442185,0.6205383688211441,0.5991512261331081
multigrate-louvain,Embedding,9026.0,0.8465469314332015,0.8654011538095111,0.7545501734680463,0.8811620732151336,0.22419681034412775,0.32138636082551053,0.2967635745947414,0.6560544717813995,0.6230557178313483,0.9858744844274391,0.9948621871964561,0.6173520758748055,0.5939002587459982
SCALEX-louvain,Embedding,9026.0,0.872642774513055,0.8820990099829309,0.8769994651436049,0.9213132437256233,0.30106273781419995,0.43618575335923165,0.4677227475451552,0.7092579832564003,0.6972209045816784,0.9859104043447275,0.9935786740629803,0.5939684137701988,0.5793966454453766
sciPENN_batch-louvain,Embedding,9026.0,0.9320800439804353,0.9543224019841783,0.4190345035086729,0.6603316202810271,0.45104413198687787,0.21628883118036363,0.2232501386744306,0.30813123071748455,0.2974865966421372,0.9686161153077755,0.8880299767596248,0.463846522072951,0.45541645903140304
sciPENN-louvain,Embedding,9026.0,0.9463181948371296,0.9572566835192582,0.7415707812288546,0.8696690265176488,0.49399642239666125,0.5778540781944247,0.6367950210451755,0.6436329384685696,0.6771897110687165,0.9526903790526379,0.9040446415028893,0.4910097162549694,0.49514994511846455
scMDC-louvain,Embedding,9026.0,0.8692550342404509,0.8440769391901423,0.8855746121182738,0.8379168347291408,0.1815147495100212,0.4040626904416756,0.3943125350997142,0.7266560211829779,0.6845846867898129,0.992864518528521,0.9991940437614735,0.5108613868554434,0.6324251528829337
SeuratV4-louvain,Graph,9026.0,0.9126293477213829,0.9596330451138811,0.14554403689740633,0.4064528019937985,0.3795469865678652,0.6801736731072154,0.649600361707466
SeuratV4-louvain,Graph,9026.0,0.9126293477213829,0.9596330451138811,0.4064528019937985,0.3795469865678652,0.6801736731072154,0.649600361707466
totalVI_batch-louvain,Embedding,9026.0,0.8928990849893725,0.924469589378,0.9105755564067468,0.8985594570144946,0.3990120903435571,0.633886879098235,0.5516303349773595,0.7785468623356145,0.7322680398644204,0.9905320482285773,0.9964810478774271,0.510422500471274,0.5497455014963635
totalVI-louvain,Embedding,9026.0,0.8575925750477811,0.8220772248204252,0.8934080065680678,0.956488513703686,0.0986022819273271,0.3537581663482075,0.33707815208559,0.630425779434858,0.6242169729042358,0.9871664570369081,0.9938772425135957,0.5909833610057831,0.5454185971058905
bindSC-louvain,Embedding,9026.0,0.9070160229779567,0.8867313579172262,0.8569134947896005,0.9464648793982923,0.2851654316996783,0.5124059881000612,0.5314188647505199,0.7275052932916537,0.7231079911830351,0.9841523764057328,0.9924502331297007,0.5543573349714279,0.5608733044937253
CiteFuse-louvain,Graph,9026.0,1.0,1.0,0.11497529976461712,0.0,0.0,-1.616198915343812e-15,-2.287717763707675e-12
