,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1,RNA,ADT
135,multigrate-louvain,Embedding,9026.0,0.8594826977426123,0.8704571129210895,0.8044250358607512,0.8801604510872367,0.2221373617296942,0.4129488648399977,0.3651587752892163,0.666749813363709,0.6394703677502229,0.9863719533021604,0.9936079380578826,0.6598778913418452,0.586426417529583,R50,A50
136,SCALEX-louvain,Embedding,9026.0,0.8789527320698869,0.8953251793602235,0.8428671047438494,0.9318499296549864,0.3117667325218566,0.4082551360730553,0.4985530481043512,0.6979249452104774,0.6968681328651101,0.9827345996439862,0.9918836186130224,0.5442944100747505,0.5799448052886873,R50,A50
137,sciPENN_batch-louvain,Embedding,9026.0,0.9574764528976,0.9720552391650236,0.6022820019073986,0.8416070303706722,0.4909101832966318,0.4889176964084568,0.5624446219170885,0.5220957744504595,0.5653452184319716,0.9207574426037386,0.8158226114847459,0.4971702732145786,0.4806038483977318,R50,A50
138,sciPENN-louvain,Embedding,9026.0,0.9566125862057208,0.9718766715691374,0.5615390235851517,0.8307277764219204,0.4947576459629891,0.3718878945464263,0.4583341783121851,0.5013616874993873,0.5476602876554351,0.9227676838029972,0.8049622741613601,0.4772762736926476,0.4729889692738652,R50,A50
139,scMDC-louvain,Embedding,9026.0,0.8707872559971497,0.8637389402796549,0.9119301189460296,0.9260811610120852,0.2184909377865548,0.4685754848742572,0.4373620242058556,0.7388836537833887,0.6983269314647058,0.9930422423953515,0.9985177120150254,0.61744757493337,0.6250761106610299,R50,A50
140,SeuratV4,Graph,9026.0,,,0.9155824060338174,0.9517572258464612,0.1494502846439594,0.3999357721791901,0.3488818765875887,0.6707138358523614,0.6430974895914153,0.9858422728133244,0.99346970133487,,,R50,A50
141,totalVI_batch-louvain,Embedding,9026.0,0.8966391209903265,0.9272889818433638,0.8962500271906408,0.9540728876092048,0.4110105994154653,0.7330969433014827,0.6296395381008839,0.7828449761058065,0.7333644382521048,0.989654689257443,0.9948791258693612,0.5298399527867635,0.544329444388859,R50,A50
142,totalVI-louvain,Embedding,9026.0,0.8692245989594073,0.8411628402180225,0.8808232371084148,0.9419107965486138,0.1229348448105628,0.3985562841792649,0.3616923016337616,0.6647168115101938,0.6405374046804788,0.9864130873605398,0.9926809396505782,0.5540934192637602,0.5385776863899082,R50,A50
143,bindSC-louvain,Embedding,9026.0,0.9014874002462808,0.8794761770138392,0.9003307113019219,0.948378880583442,0.199727914912786,0.5086606530016563,0.4694773042842365,0.7213002849146518,0.6993126466375543,0.9868982029569892,0.9958098677074106,0.5751940024395784,0.5751494161784649,R75,A100
144,CiteFuse,Graph,9026.0,,,1.0,1.0,0.122222287141324,0.0,0.0,-1.616198915343812e-15,-2.287717763707675e-12,0.952343536544267,0.7799361536146864,,,R75,A100
145,MaxFuse-louvain,Embedding,9026.0,0.899394919560264,0.8871401806801148,0.9408923029085036,0.952192957824698,0.2665726513582833,0.5185410911911118,0.4793765137728904,0.7395425620553723,0.70398585500252,0.9874961230820382,0.9927385064076444,0.5725350752472878,0.5465474543860183,R75,A100
146,MOFA2-louvain,Embedding,9026.0,0.8473940804902274,0.8069590317381925,0.8170048325109593,0.8908529237844046,0.142259439116394,0.3584550238322855,0.3142750115382942,0.6484507768284241,0.6188891026857125,0.9837518173074492,0.9948600163130058,0.6650599737962087,0.5546239770948886,R75,A100
147,multigrate_batch-louvain,Embedding,9026.0,0.8207466074511196,0.9083159848338352,0.8103503713944592,0.8430299968354517,0.4369487904705487,0.4926938104442226,0.4605879262376942,0.7419071845732086,0.6949860821605024,0.9840119343872934,0.9936980494761922,0.565018410483996,0.5938752509653569,R75,A100
148,multigrate-louvain,Embedding,9026.0,0.8374600564984873,0.8528733494410197,0.7562703745587586,0.8792523010797565,0.2173636812884752,0.3393261136697559,0.2931814137408295,0.6571414562809722,0.6124571781587755,0.9847927657687284,0.991884202408182,0.6437456359465917,0.5815525593236088,R75,A100
149,SCALEX-louvain,Embedding,9026.0,0.8729934405580663,0.8793515950846489,0.8421470862971131,0.9367438643281536,0.3046951455977753,0.4112476621528254,0.4651398498629593,0.6955760742411633,0.6866433420112822,0.983213859919654,0.9921643181602604,0.57207819322745,0.5772352319210767,R75,A100
150,sciPENN_batch-louvain,Embedding,9026.0,0.94558762243506,0.964468676961296,0.6749006459020876,0.8597541531060339,0.5052428523233465,0.5529882815897308,0.6170055340771944,0.6160514706507518,0.6582923875240784,0.9443632958992492,0.8855964046841697,0.4847055928160746,0.4885134494397789,R75,A100
151,sciPENN-louvain,Embedding,9026.0,0.9530057347111104,0.9648970891297384,0.6878006804439872,0.8628167582504649,0.5052243587783327,0.5375539133164405,0.6035232488438451,0.5960596294598942,0.6316443652729389,0.943225107943692,0.8669671952354379,0.4880071173732479,0.485646054627432,R75,A100
152,scMDC-louvain,Embedding,9026.0,0.8601082743000138,0.8202687541291286,0.8888494401025087,0.859185466785901,0.2045695571200867,0.4288318819739906,0.4086579105576268,0.7252114206852617,0.6817698991807642,0.9922172831087092,0.9984641609853352,0.5843596955140432,0.6279330551624298,R75,A100
153,SeuratV4,Graph,9026.0,,,0.906980717284104,0.9593590195003694,0.1437503102535464,0.4092050251815824,0.3793373112245882,0.6832347092218447,0.6551469611686362,0.9867889203134672,0.9945546038565296,,,R75,A100
154,totalVI_batch-louvain,Embedding,9026.0,0.8968440815024767,0.9317596934049844,0.9209779735172304,0.9281089586554048,0.3951130792823143,0.7698420895769816,0.694851313308956,0.7944404851008947,0.7614938089033997,0.9898505651741968,0.9955749355289488,0.5130023285746574,0.5515374978072941,R75,A100
155,totalVI-louvain,Embedding,9026.0,0.8486886326882086,0.7983884104961197,0.8800540529760752,0.9583651608118848,0.0993436611803349,0.3604459120980574,0.3180584658570251,0.6376995764941253,0.6154942570324391,0.986234613808669,0.9928132040889652,0.5958113173643748,0.5394702084362507,R75,A100
156,bindSC-louvain,Embedding,9026.0,0.9057423792385848,0.8797684706994259,0.9140083505556442,0.946345628675732,0.2134264022845199,0.4864116909206731,0.4630301845148915,0.7283631561926379,0.7011057323787168,0.9868525168765584,0.9953374351560352,0.575609194735686,0.5741427019238472,R75,A75
