,method,Output,nCell,Batch_ASW_batch,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1,s2d1,s3d6,Batch_ASW_site
23,sciPENN-louvain,Embedding,21500.0,0.8925474840147868,0.912004480390774,0.9355798388831984,0.7385049602361988,0.4656283085903254,0.4596963570236787,0.7383808762809676,0.7152618092665756,0.99155861438193,0.9988114746091808,0.4754140808945521,0.6137505643069744,R75_A75,R100_A100,
24,scmomat-louvain,Embedding,21500.0,0.715148804966439,0.8564864031707373,0.9412696333356364,0.020608314391155,0.444023580199639,0.4895331810096023,0.6540708066073266,0.6652819129968885,0.9713397876928828,0.9843255805797628,0.5579787576571107,0.5166041717398911,R75_A75,R100_A100,
25,scVAEIT-louvain,Embedding,21500.0,0.5310460293222323,0.689914667312494,0.7899786603618101,2.220446049250313e-16,0.2860530886868854,0.3432270395515185,0.6309593681012343,0.6415886751167981,0.977941443834046,0.9975377095154004,0.5357400855282322,0.5198561135679484,R75_A75,R100_A100,
26,StabMap-louvain,Embedding,21500.0,0.9056221252985386,0.9089854074705794,0.9425821455965566,0.6062730271519077,0.4837253329981527,0.5589078304119468,0.7356009978660308,0.7501740725178816,0.9870682407481968,0.9971078345490756,0.4631542526185512,0.5647182308137417,R75_A75,R100_A100,
27,totalVI-louvain,Embedding,21500.0,0.9234663427966838,0.9430318206006392,0.9420747651251886,0.7258511109897923,0.5091708054510882,0.5661711655055699,0.7554651555455517,0.7478329091762106,0.9863393142203029,0.9963403129789824,0.5221907519153319,0.5512738567776978,R75_A75,R100_A100,
28,MIDAS-louvain,Embedding,21500.0,0.9434714921270504,0.9642605567705212,0.95120983435612,0.6994087925821726,0.5689778316085411,0.5268656956254429,0.7581313092662839,0.7310559737866574,0.9902263018223014,0.9974816614770472,0.5365713746286929,0.5620988673181273,R100_A100,R100_A100,0.9434714921270504
29,multigrate-louvain,Embedding,21500.0,0.6405560543805119,0.7962756800142591,0.8371164084785481,2.220446049250313e-16,0.3328940344164491,0.2982054912670537,0.6959063870694396,0.6449228313943808,0.9916045317044048,0.9993819223266984,0.6551048578694463,0.5981054546311497,R100_A100,R100_A100,0.6405560543805119
30,MIDAS-louvain,Embedding,21500.0,0.6657012921813416,0.91470364396295,0.9039272129515308,0.0052246424620323,0.4431415655443796,0.4429509675711893,0.6868313474860717,0.6813684128737639,0.986749655785538,0.9949543896180796,0.5533104775822721,0.5465299903415144,R100_A100,R10_A10,
31,multigrate-louvain,Embedding,21500.0,0.6305981889255624,0.7173719304066329,0.7779629976959317,2.220446049250313e-16,0.323219052949688,0.3009919217154015,0.6683933418481713,0.6317316620472546,0.9881479181414452,0.9977178064610032,0.6466504209674895,0.5781270113773644,R100_A100,R10_A10,
32,sciPENN-louvain,Embedding,21500.0,0.8131668976067259,0.8283134292654876,0.8502312046650798,0.3790080376832228,0.3920433103240624,0.4345267612888648,0.6753304812318592,0.6799136262518347,0.9795924800151048,0.9966058340665844,0.4662418039515614,0.6031959569081664,R100_A100,R10_A10,
33,scmomat-louvain,Embedding,21500.0,0.7302431961050565,0.7065781068698497,0.9114863271121292,0.0021029621765467,0.2293349631867758,0.2654319883614694,0.5030286867253846,0.507118771242265,0.9600106241930118,0.9363310058819374,0.575329712650273,0.4993046388961374,R100_A100,R10_A10,
34,scVAEIT-louvain,Embedding,21500.0,0.5262222864143533,0.5170963951874413,0.7822444797102466,2.220446049250313e-16,0.222199911161727,0.2448325647184341,0.4951606344756527,0.5242166216950764,0.957705484677186,0.9584872389743532,0.5294757294468582,0.4780149262398481,R100_A100,R10_A10,
35,StabMap-louvain,Embedding,21500.0,0.8064729333649885,0.8283003909889703,0.8919445583074588,0.5186450297308158,0.466148032996069,0.4879286589920339,0.6176994909940065,0.6227001651143027,0.9760105923273786,0.9893915329068048,0.4453150497283786,0.542336941882968,R100_A100,R10_A10,
36,totalVI-louvain,Embedding,21500.0,0.6114238734717228,0.4501941383106497,0.713035257553634,0.0,0.2091429103810617,0.2271010140753635,0.4836246108338944,0.5069659316335797,0.9572219834000733,0.9558075478378908,0.5590185881592333,0.4640256900340319,R100_A100,R10_A10,
37,MIDAS-louvain,Embedding,21500.0,0.8641536548759146,0.946208540313547,0.9357378367726868,0.4212310035316071,0.5655915085168479,0.5298018212397159,0.7353598725475048,0.7180159826558363,0.9872259240991436,0.9943302681102438,0.5369435139000416,0.5554549690335989,R100_A100,R25_A25,
38,multigrate-louvain,Embedding,21500.0,0.5550551864540447,0.7074560592624196,0.7921568889117935,0.0,0.3130646691895545,0.3100716412167489,0.6740662986891753,0.633890356115034,0.9897760118212474,0.9985091831671976,0.6419008709490299,0.5974015275016427,R100_A100,R25_A25,
39,sciPENN-louvain,Embedding,21500.0,0.8791341020645194,0.8877888768757737,0.9287283293417434,0.7183746133582001,0.4298407866328985,0.4430888379366906,0.7213882032562476,0.6986958927931013,0.9878922933197656,0.998205127427448,0.4500396763905883,0.6165306156501174,R100_A100,R25_A25,
40,scmomat-louvain,Embedding,21500.0,0.7551862922552243,0.7013408272521096,0.8576816217246691,0.0044554643773275,0.3041104598966374,0.3379122732986054,0.5634694878800047,0.5698679461074724,0.9622879788381206,0.9632674437666958,0.5738155413419008,0.4962792188860476,R100_A100,R25_A25,
41,scVAEIT-louvain,Embedding,21500.0,0.5343279275731414,0.6119919274129065,0.8605627772817934,4.440892098500626e-16,0.2449543789335436,0.305824697598263,0.5639486016616124,0.5991049505689534,0.972870888255614,0.9896852322176648,0.5733655804069713,0.5148616816848517,R100_A100,R25_A25,
42,StabMap-louvain,Embedding,21500.0,0.85285798816034,0.8770508472435906,0.8948039412591962,0.6466263860461594,0.4748762077178892,0.5202841127075619,0.6787119649385449,0.6934483622794451,0.9797056115247812,0.9937918024171116,0.4586711905431002,0.5478424599394203,R100_A100,R25_A25,
43,totalVI-louvain,Embedding,21500.0,0.8367203388034768,0.923820071404814,0.923189191439716,0.7695901267689516,0.6338686065569156,0.6273721101723096,0.7287285123100266,0.7302577923159038,0.9800067584142454,0.98994038100338,0.5421990603208542,0.5387778498232365,R100_A100,R25_A25,
44,MIDAS-louvain,Embedding,21500.0,0.746266348251577,0.9676362273284352,0.9413959290566136,0.0352110168821107,0.4209401091513833,0.4489580808341181,0.7113915448264484,0.7034091000145055,0.990313589440028,0.997997684776576,0.5526928743711323,0.5602626832202077,R100_A100,R50_A50,
45,multigrate-louvain,Embedding,21500.0,0.592154133936587,0.7485983923806461,0.7985021975478787,2.220446049250313e-16,0.3703798409785047,0.3281867476264808,0.6876588295400277,0.6429195626322999,0.990029947623049,0.9992422056159372,0.6199479512870312,0.5868463810067623,R100_A100,R50_A50,
46,sciPENN-louvain,Embedding,21500.0,0.9083456693049032,0.8986231413504638,0.9264088462301204,0.781028757920144,0.4242671257920701,0.4692888987140401,0.7245305105757708,0.7081986442730619,0.9891949406346084,0.9984121032424852,0.4574313558696303,0.6152996469289065,R100_A100,R50_A50,
47,scmomat-louvain,Embedding,21500.0,0.7646066779795472,0.8052032540548522,0.9052511345178884,0.0321286060673478,0.3013494351646472,0.3481642069897271,0.5978700344042436,0.6082960680680842,0.9686730554892424,0.97444411821539,0.5417606558767147,0.507880823337473,R100_A100,R50_A50,
48,scVAEIT-louvain,Embedding,21500.0,0.5608524331442969,0.7239943064234412,0.8814624009301812,6.661338147750939e-16,0.2865246984277695,0.3151473101318846,0.6023781356516485,0.6087371864042395,0.975726858147322,0.9957519412811542,0.5859863217920065,0.5378718707710505,R100_A100,R50_A50,
49,StabMap-louvain,Embedding,21500.0,0.8652922946239976,0.9005076203429108,0.9096686866857192,0.6468156902994391,0.4773020647444307,0.5273753097714258,0.7223508384339034,0.7257577594904194,0.9843714899367244,0.9975762870394688,0.4643420006614178,0.5565389040857553,R100_A100,R50_A50,
50,totalVI-louvain,Embedding,21500.0,0.871264089162829,0.9476605205338532,0.9419387342215252,0.7548577816434636,0.4520819788617778,0.521354387654632,0.7309912950180835,0.7357359026967208,0.983852749556448,0.9952964153879902,0.5489114718511701,0.5506587291136384,R100_A100,R50_A50,
51,MIDAS-louvain,Embedding,21500.0,0.937960783269728,0.9583883591355444,0.9466140057335968,0.7119325693217584,0.5114181763262111,0.5456655678498106,0.7395356156188209,0.7293538361866474,0.9889746823141627,0.9973066949095244,0.5385437259683385,0.5614423472376074,R100_A100,R75_A75,
52,multigrate-louvain,Embedding,21500.0,0.5167201652325029,0.7023641766278781,0.781491968884011,0.0,0.3419341126091684,0.3075531634438564,0.6739084890370909,0.6321355322350308,0.99088487315008,0.9987599853930572,0.6538118692114949,0.5945613434538245,R100_A100,R75_A75,
53,sciPENN-louvain,Embedding,21500.0,0.8974395108314239,0.88806860493702,0.9379475780410566,0.73399356618819,0.4347006379944386,0.4095228779673067,0.724130730543463,0.6872258144443212,0.9915747721467554,0.9989975366227593,0.4446342277806252,0.6275242857635022,R100_A100,R75_A75,
54,scmomat-louvain,Embedding,21500.0,0.7280540914850532,0.7666620645859727,0.9086492857359734,0.0037917467924408,0.3791517422052648,0.4065074061386383,0.6229605806185113,0.6318239688163374,0.971611533532507,0.9851957559759364,0.5436048340052366,0.5012209889187943,R100_A100,R75_A75,
55,scVAEIT-louvain,Embedding,21500.0,0.5937080670053856,0.6793528253724991,0.8557913356878892,0.0021291669319825,0.2731265188044168,0.3158994211658878,0.631579980311746,0.6321307305703282,0.9787832797759084,0.9970439039087614,0.5961901410482824,0.5944116155616939,R100_A100,R75_A75,
56,StabMap-louvain,Embedding,21500.0,0.8846346881017628,0.9130094091317832,0.9204355587443356,0.6174279627758275,0.5387704131527802,0.5652027432780365,0.7386861330586721,0.7402553409766681,0.9857854966443148,0.9980007302837168,0.4693998876027763,0.5652394520118833,R100_A100,R75_A75,
57,totalVI-louvain,Embedding,21500.0,0.9138235918778854,0.958389581314214,0.9490137804231096,0.7399936277680235,0.533493247355563,0.5458218355548339,0.7590825856193327,0.7452854484815628,0.9878621330346988,0.9960005710952272,0.5390673492802307,0.5513762598216999,R100_A100,R75_A75,
58,sciPENN-louvain,Embedding,21500.0,0.8983085022487913,0.9113118446235566,0.9378170487797632,0.7669440448536244,0.434934669260799,0.4094108188625554,0.7320534231587541,0.6932862899564082,0.9911225620183264,0.9989360668691664,0.4683047094149515,0.6234922647476197,R100_A100,R100_A100,0.8983085022487913
59,scmomat-louvain,Embedding,21500.0,0.7164665003499691,0.8356104276264369,0.9114861605392636,0.0072034786278312,0.3288946421700072,0.3681521615038264,0.6324673037248258,0.6351249163680547,0.9713036646409056,0.9825885168810532,0.5651210839860141,0.5105691622185986,R100_A100,R100_A100,0.7164665003499691
60,scVAEIT-louvain,Embedding,21500.0,0.5206513767909476,0.743163573784554,0.8822299106987905,4.440892098500626e-16,0.3096502257728471,0.336042797137272,0.6481314122895193,0.6411401670767504,0.9814149266068118,0.9978395829546614,0.6136568175279535,0.578583384025842,R100_A100,R100_A100,0.5206513767909476
61,StabMap-louvain,Embedding,21500.0,0.8876111857050484,0.921734632972438,0.9301423035780044,0.6337657720313423,0.469968882440425,0.5262081508640365,0.7437329751561064,0.735462233212835,0.9860832643369593,0.9976166344968358,0.4762700354913249,0.5677650477737188,R100_A100,R100_A100,0.8876111857050484
62,totalVI-louvain,Embedding,21500.0,0.9189536838600256,0.951554428913177,0.945438617510226,0.7413858585407465,0.5507041877882654,0.5459046753242746,0.7656393090280065,0.7398969617519348,0.9886322403423374,0.9960657609930323,0.5347836234141141,0.5515702873934061,R100_A100,R100_A100,0.9189536838600256
63,SeuratV5,Embedding,21500.0,0.1521689742072268,0.5817354657254363,0.7236831324844204,0.0,0.2630027065086989,0.2578875828095116,0.6034320233375764,0.58158408028463,0.987198492567014,0.9955154797779782,0.5133685218170285,0.4216611728072166,R10_A10,R100_A100,0.1521689742072268
64,SeuratV5,Embedding,21500.0,0.0753877465814624,0.5982377411979922,0.6756046227306161,0.0,0.2906769146543214,0.2645682113507829,0.6470807153038366,0.6088626822642148,0.9904702611720636,0.9978455909188528,0.522052938118577,0.4257646758109331,R25_A25,R100_A100,0.0753877465814624
65,SeuratV5,Embedding,21500.0,,0.6012410967744947,0.6059532112806306,0.0,0.2820529206841862,0.2305958899857608,0.6612947897604868,0.6013182320452345,0.9939496453743252,0.9983680026145904,0.5553818009793758,0.4287708394229412,R50_A50,R100_A100,
66,SeuratV5,Embedding,21500.0,0.1128921102468916,0.6186698014084969,0.6123192627166077,0.0,0.3136632645650787,0.2544484590866765,0.6763903547712239,0.6222202228289208,0.994829943736883,0.998527938297793,0.5738714821636677,0.4299477264285087,R75_A75,R100_A100,0.1128921102468916
67,SeuratV5,Embedding,21500.0,0.0475769888184481,0.6122735372947584,0.6045935176879915,0.0,0.2981938065735005,0.2475303624513847,0.6740430191674549,0.6182346139871765,0.9952868589366886,0.9987765905408826,0.5874059209600091,0.4323901856318116,R100_A100,R100_A100,0.0475769888184481
68,SeuratV5,Embedding,21500.0,0.0760454875740746,0.5391873234608675,0.6302462940914444,0.0,0.3272371613022952,0.2757085882182992,0.6179501958313438,0.5755643583301023,0.9908955674546152,0.996456423640103,0.5526115285465494,0.4256552509963512,R100_A100,R10_A10,0.0760454875740746
69,SeuratV5,Embedding,21500.0,0.0729219214461366,0.589251572611314,0.6621876586360516,0.0,0.2734344012615171,0.2343462613554105,0.6495692893943203,0.6006554403805346,0.9942258048783332,0.9972680488423252,0.5703752860426903,0.4295887794345617,R100_A100,R25_A25,0.0729219214461366
70,SeuratV5,Embedding,21500.0,0.0598773824816963,0.6023227382031074,0.6307011437176967,0.0,0.295966560769305,0.2392241973119341,0.6676255560075702,0.6071876424581135,0.9956062961020768,0.998142637988444,0.5947451693937182,0.4319076810032129,R100_A100,R50_A50,0.0598773824816963
71,SeuratV5,Embedding,21500.0,0.0701529963343303,0.6093888748260778,0.5995487596081338,0.0,0.2695722183669805,0.2318956130938988,0.6599760840138709,0.6107558883576498,0.994989830005476,0.9982235527015398,0.5915221674367785,0.4316356778144836,R100_A100,R75_A75,0.0701529963343303
