V1	c500	c1k	c5k	c10k	c50k	c100k	c500k
cobolt	2017MB	2017MB	2017MB	2019MB	2017MB	2021MB	
DCCA	6861MB	8363MB	21051MB				
multigrate	1509MB	1509MB	1511MB	1517MB	1513MB	1513MB	
multivi	5419MB	5421MB	5421MB	5421MB	5421MB	5439MB	5421MB
scDEC	443MB	443MB	443MB	443MB	443MB	443MB	
scMDC	1959MB	1979MB	2099MB	2365MB	4047MB	6171MB	
scMVAE	13435MB	17049MB	13823MB	18791MB			
scMVP	2825MB	2781MB	2783MB	2783MB	2783MB	2785MB	2791MB
uniPort	1829MB	1829MB	1829MB	1829MB	1829MB	1829MB	1829MB
