,method,Output,nCell,Batch_ASW_batch-RNA,graph_connectivity_label-RNA,graph_connectivity_cluster-RNA,graph_iLISI-RNA,ARI-RNA,AMI-RNA,graph_cLISI-RNA,isolated_labels_ASW-RNA,Batch_ASW_batch-ATAC,graph_connectivity_label-ATAC,graph_connectivity_cluster-ATAC,graph_iLISI-ATAC,ARI-ATAC,AMI-ATAC,graph_cLISI-ATAC,isolated_labels_ASW-ATAC,FOSCTTM,nearest_cell_barcode,nearest_cell_barcode-RNA,nearest_cell_barcode-ATAC,nearest_cell_celltype,nearest_cell_celltype-RNA,nearest_cell_celltype-ATAC,c5k_1,c5k_2
42,SeuratV5,Embedding,10000.0,,,,,,,,,,,,,,,,,0.0822617,0.0158,0.0182,0.0134,0.6403000000000001,0.6228,0.6578,R50_A50,R100_A100
43,SeuratV5,Embedding,10000.0,,,,,,,,,,,,,,,,,0.0674156599999999,0.0221,0.0258,0.0184,0.6714,0.6692,0.6736,R75_A75,R100_A100
44,SeuratV5,Embedding,10000.0,,,,,,,,,,,,,,,,,0.05582958,0.0249,0.0308,0.019,0.6783,0.6826,0.674,R100_A100,R100_A100
45,StabMap,Embedding,10000.0,,,,,,,,,,,,,,,,,0.44742188,0.0001,0.0002,0.0,0.0940999999999999,0.1064,0.0818,R100_A100,R10_A10
46,StabMap,Embedding,10000.0,,,,,,,,,,,,,,,,,0.46594536,0.0,0.0,0.0,0.1406,0.2044,0.0768,R100_A100,R25_A25
47,StabMap,Embedding,10000.0,,,,,,,,,,,,,,,,,0.4796100399999999,0.0002,0.0004,0.0,0.068,0.0454,0.0906,R100_A100,R50_A50
48,StabMap,Embedding,10000.0,,,,,,,,,,,,,,,,,0.4654161799999999,0.0003,0.0004,0.0002,0.0979,0.078,0.1178,R100_A100,R75_A75
49,StabMap,Embedding,10000.0,,,,,,,,,,,,,,,,,0.44682938,0.0007,0.0004,0.001,0.1238,0.0934,0.1542,R100_A100,R100_A100
50,StabMap,Embedding,10000.0,,,,,,,,,,,,,,,,,0.35552918,0.0002,0.0002,0.0002,0.0839999999999999,0.094,0.074,R10_A10,R100_A100
51,StabMap,Embedding,10000.0,,,,,,,,,,,,,,,,,0.40342384,0.0,0.0,0.0,0.0867,0.0834,0.09,R25_A25,R100_A100
52,StabMap,Embedding,10000.0,,,,,,,,,,,,,,,,,0.46014498,0.0,0.0,0.0,0.0756,0.055,0.0962,R50_A50,R100_A100
53,StabMap,Embedding,10000.0,,,,,,,,,,,,,,,,,0.4612913,0.0005,0.0004,0.0006,0.1139,0.098,0.1298,R75_A75,R100_A100
