,method,Output,nCell,Batch_ASW_batch,graph_iLISI
0,harmony,Embedding,5336.0,0.9698325303324864,0.9418520812427582
1,mefisto,Embedding,5336.0,0.8198081587591032,0.2301055001454008
2,multimap,Embedding,5336.0,0.7881234487031041,0.1888311094283175
3,spglue,Embedding,5336.0,0.9402773240312814,0.8396873063749628
4,staligner,Embedding,5336.0,0.9519349939257206,0.9047844331263027
5,spglue,Embedding,5336.0,0.9402773240312814,0.8396873063749628
6,spglue,Embedding,5336.0,0.9402773240312814,0.8396873063749628
7,spglue,Embedding,5336.0,0.9402773240312814,0.8396873063749628
8,spglue,Embedding,5336.0,0.9402773240312814,0.8396873063749628
