,method,Output,nCell,Batch_ASW_batch,graph_iLISI
0,harmony,Embedding,17824.0,0.8895125581262705,0.7573200396045182
1,mefisto,Embedding,17824.0,0.9013360766872868,0.3925738522156239
2,multimap,Embedding,17824.0,0.6904978121522113,7.401486830834377e-17
3,spglue,Embedding,17824.0,0.8608899048933922,0.499767685701445
4,staligner,Embedding,17824.0,0.9403525984458504,0.6600632163479828
5,spglue,Embedding,17824.0,0.8608899048933922,0.499767685701445
6,spglue,Embedding,17824.0,0.8608899048933922,0.499767685701445
7,spglue,Embedding,17824.0,0.8608899048933922,0.499767685701445
8,spglue,Embedding,17824.0,0.8608899048933922,0.499767685701445
