,method,Output,nCell,Batch_ASW_batch,graph_connectivity,graph_iLISI,ARI,AMI,graph_cLISI,isolated_labels_ASW
0,cobolt-louvain,Embedding,15000.0,0.9272758192296624,0.8708072345065621,0.8259490696722438,0.4086213952791965,0.5357300015867511,0.9649885776114044,0.525484765191441
1,cobolt-louvain,Embedding,15000.0,0.93270072755914,0.8700164712937045,0.8268878940603437,0.3786210937136581,0.5319671559627869,0.963862117638678,0.525843482626521
2,cobolt-louvain,Embedding,15000.0,0.9197597890744948,0.8540322718845335,0.8327363392914933,0.3849801634511073,0.531927422944059,0.963209530901832,0.5266981795733876
3,cobolt-louvain,Embedding,15000.0,0.936898341544928,0.8698473677105771,0.817189263981676,0.3803546655518667,0.5317581388014162,0.9657229571690348,0.5305966294735022
4,cobolt-louvain,Embedding,15000.0,0.9324938012280394,0.8851075338734513,0.8249771561674186,0.3658765325153613,0.5213232305692538,0.9646287192670666,0.5281780634431135
5,multigrate-louvain,Embedding,15000.0,0.843170443823173,0.7367776653259471,0.0252340079949374,0.1872844184957151,0.408302900491473,0.9462447704504836,0.4967455966195658
6,multigrate-louvain,Embedding,15000.0,0.843170443823173,0.7367776653259471,0.0252340079949374,0.1872844184957151,0.408302900491473,0.9462447704504836,0.4967455966195658
7,multigrate-louvain,Embedding,15000.0,0.843170443823173,0.7367776653259471,0.0252340079949374,0.1872844184957151,0.408302900491473,0.9462447704504836,0.4967455966195658
8,multigrate-louvain,Embedding,15000.0,0.843170443823173,0.7367776653259471,0.0252340079949374,0.1872844184957151,0.408302900491473,0.9462447704504836,0.4967455966195658
9,multigrate-louvain,Embedding,15000.0,0.843170443823173,0.7367776653259471,0.0252340079949374,0.1872844184957151,0.408302900491473,0.9462447704504836,0.4967455966195658
10,multivi-louvain,Embedding,15000.0,0.9428175120583536,0.8649514567721018,0.8031560592241571,0.3852917603819447,0.5399890419625633,0.9607965266734244,0.5224687685461148
11,multivi-louvain,Embedding,15000.0,0.9428175120583536,0.8649514567721018,0.8031560592241571,0.3852917603819447,0.5399890419625633,0.9607965266734244,0.5224687685461148
12,multivi-louvain,Embedding,15000.0,0.9428175120583536,0.8649514567721018,0.8031560592241571,0.3852917603819447,0.5399890419625633,0.9607965266734244,0.5224687685461148
13,multivi-louvain,Embedding,15000.0,0.9428175120583536,0.8649514567721018,0.8031560592241571,0.3852917603819447,0.5399890419625633,0.9607965266734244,0.5224687685461148
14,multivi-louvain,Embedding,15000.0,0.9428175120583536,0.8649514567721018,0.8031560592241571,0.3852917603819447,0.5399890419625633,0.9607965266734244,0.5224687685461148
15,scmomat-louvain,Embedding,15000.0,0.9049311955629152,0.7572625727432762,0.5558854394948345,0.1482745464597193,0.3089566177491458,0.9209283094897408,0.4700341150771988
16,scmomat-louvain,Embedding,15000.0,0.9049311955629152,0.7572625727432762,0.5558854394948345,0.1482745464597193,0.3089566177491458,0.9209283094897408,0.4700341150771988
17,scmomat-louvain,Embedding,15000.0,0.9049311955629152,0.7572625727432762,0.5558854394948345,0.1482745464597193,0.3089566177491458,0.9209283094897408,0.4700341150771988
18,scmomat-louvain,Embedding,15000.0,0.9049311955629152,0.7572625727432762,0.5558854394948345,0.1482745464597193,0.3089566177491458,0.9209283094897408,0.4700341150771988
19,scmomat-louvain,Embedding,15000.0,0.9049311955629152,0.7572625727432762,0.5558854394948345,0.1482745464597193,0.3089566177491458,0.9209283094897408,0.4700341150771988
20,StabMap,Embedding,15000.0,0.7762387629661799,0.5240892791991946,0.5086588857869492,0.0390892901698736,0.1180333182427455,0.8032134388106364,0.4226308644789716
21,StabMap,Embedding,15000.0,0.7762387629661799,0.5240892791991946,0.5086588857869492,0.0390892901698736,0.1180333182427455,0.8032134388106364,0.4226308644789716
22,StabMap,Embedding,15000.0,0.7762387629661799,0.5240892791991946,0.5086588857869492,0.0390892901698736,0.1180333182427455,0.8032134388106364,0.4226308644789716
23,StabMap,Embedding,15000.0,0.7762387629661799,0.5240892791991946,0.5086588857869492,0.0390892901698736,0.1180333182427455,0.8032134388106364,0.4226308644789716
24,StabMap,Embedding,15000.0,0.7762387629661799,0.5240892791991946,0.5086588857869492,0.0390892901698736,0.1180333182427455,0.8032134388106364,0.4226308644789716
25,SeuratV5,Embedding,15000.0,0.4620588481864242,0.7446709238159548,0.2043862980901342,0.2371875626562564,0.5319470495527774,0.981113687171813,0.5288087235277762
26,SeuratV5,Embedding,15000.0,0.4620588481864242,0.7446709238159548,0.2043862980901342,0.2371875626562564,0.5319470495527774,0.981113687171813,0.5288087235277762
27,SeuratV5,Embedding,15000.0,0.4620588481864242,0.7446709238159548,0.2043862980901342,0.2371875626562564,0.5319470495527774,0.981113687171813,0.5288087235277762
28,SeuratV5,Embedding,15000.0,0.4620588481864242,0.7446709238159548,0.2043862980901342,0.2371875626562564,0.5319470495527774,0.981113687171813,0.5288087235277762
29,SeuratV5,Embedding,15000.0,0.4620588481864242,0.7446709238159548,0.2043862980901342,0.2371875626562564,0.5319470495527774,0.981113687171813,0.5288087235277762
