,method,Output,nCell,Batch_ASW_batch-RNA,Batch_ASW_site-RNA,graph_connectivity_label-RNA,graph_connectivity_label.l1-RNA,graph_connectivity_cluster-RNA,graph_iLISI-RNA,ARI-RNA,ARI.l1-RNA,AMI-RNA,AMI.l1-RNA,graph_cLISI-RNA,graph_cLISI.l1-RNA,isolated_labels_ASW-RNA,isolated_labels_ASW.l1-RNA,Batch_ASW_batch-ATAC,Batch_ASW_site-ATAC,graph_connectivity_label-ATAC,graph_connectivity_label.l1-ATAC,graph_connectivity_cluster-ATAC,graph_iLISI-ATAC,ARI-ATAC,ARI.l1-ATAC,AMI-ATAC,AMI.l1-ATAC,graph_cLISI-ATAC,graph_cLISI.l1-ATAC,isolated_labels_ASW-ATAC,isolated_labels_ASW.l1-ATAC,FOSCTTM,nearest_cell_barcode,nearest_cell_barcode-RNA,nearest_cell_barcode-ATAC,nearest_cell_celltype,nearest_cell_celltype-RNA,nearest_cell_celltype-ATAC,nearest_cell_celltype.l1,nearest_cell_celltype.l1-RNA,nearest_cell_celltype.l1-ATAC
20,scmomat-louvain,Embedding,6781.0,,,0.97186351097576,0.9909617247043226,1.0,,0.494749895655141,0.4357859630796973,0.7434283401896413,0.6908106299027258,0.9853591044346328,0.9926458100782088,0.5621499817620547,0.5850741875067546,,,0.9415418047556418,0.9508084789535142,1.0,,0.3547951489675068,0.3550593580241067,0.609376335929641,0.5965887170197492,0.9640105619086278,0.9775318164711396,0.5192222523061336,0.5634363978985316,0.2707394862955061,0.0031706238017991,0.0022120631175342,0.004129184486064,0.4485326647987022,0.4471316914909305,0.4499336381064739,0.6482819643120483,0.6637664061347884,0.6327975224893083
21,scmomat-louvain,Embedding,6781.0,,,0.97186351097576,0.9909617247043226,1.0,,0.494749895655141,0.4357859630796973,0.7434283401896413,0.6908106299027258,0.9853591044346328,0.9926458100782088,0.5621499817620547,0.5850741875067546,,,0.9415418047556418,0.9508084789535142,1.0,,0.3547951489675068,0.3550593580241067,0.609376335929641,0.5965887170197492,0.9640105619086278,0.9775318164711396,0.5192222523061336,0.5634363978985316,0.2707394862955061,0.0031706238017991,0.0022120631175342,0.004129184486064,0.4485326647987022,0.4471316914909305,0.4499336381064739,0.6482819643120483,0.6637664061347884,0.6327975224893083
22,scmomat-louvain,Embedding,6781.0,,,0.97186351097576,0.9909617247043226,1.0,,0.494749895655141,0.4357859630796973,0.7434283401896413,0.6908106299027258,0.9853591044346328,0.9926458100782088,0.5621499817620547,0.5850741875067546,,,0.9415418047556418,0.9508084789535142,1.0,,0.3547951489675068,0.3550593580241067,0.609376335929641,0.5965887170197492,0.9640105619086278,0.9775318164711396,0.5192222523061336,0.5634363978985316,0.2707394862955061,0.0031706238017991,0.0022120631175342,0.004129184486064,0.4485326647987022,0.4471316914909305,0.4499336381064739,0.6482819643120483,0.6637664061347884,0.6327975224893083
23,scmomat-louvain,Embedding,6781.0,,,0.97186351097576,0.9909617247043226,1.0,,0.494749895655141,0.4357859630796973,0.7434283401896413,0.6908106299027258,0.9853591044346328,0.9926458100782088,0.5621499817620547,0.5850741875067546,,,0.9415418047556418,0.9508084789535142,1.0,,0.3547951489675068,0.3550593580241067,0.609376335929641,0.5965887170197492,0.9640105619086278,0.9775318164711396,0.5192222523061336,0.5634363978985316,0.2707394862955061,0.0031706238017991,0.0022120631175342,0.004129184486064,0.4485326647987022,0.4471316914909305,0.4499336381064739,0.6482819643120483,0.6637664061347884,0.6327975224893083
24,scmomat-louvain,Embedding,6781.0,,,0.97186351097576,0.9909617247043226,1.0,,0.494749895655141,0.4357859630796973,0.7434283401896413,0.6908106299027258,0.9853591044346328,0.9926458100782088,0.5621499817620547,0.5850741875067546,,,0.9415418047556418,0.9508084789535142,1.0,,0.3547951489675068,0.3550593580241067,0.609376335929641,0.5965887170197492,0.9640105619086278,0.9775318164711396,0.5192222523061336,0.5634363978985316,0.2707394862955061,0.0031706238017991,0.0022120631175342,0.004129184486064,0.4485326647987022,0.4471316914909305,0.4499336381064739,0.6482819643120483,0.6637664061347884,0.6327975224893083
25,StabMap,Embedding,13562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3177021419334421,0.0009585606842648,0.0013272378705205,0.0005898834980091,0.3248783365285356,0.467482672172246,0.1822740008848252,0.4361451113405102,0.570712284323846,0.3015779383571744
26,StabMap,Embedding,13562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3177021419334421,0.0009585606842648,0.0013272378705205,0.0005898834980091,0.3248783365285356,0.467482672172246,0.1822740008848252,0.4361451113405102,0.570712284323846,0.3015779383571744
27,StabMap,Embedding,13562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3177021419334421,0.0009585606842648,0.0013272378705205,0.0005898834980091,0.3248783365285356,0.467482672172246,0.1822740008848252,0.4361451113405102,0.570712284323846,0.3015779383571744
28,StabMap,Embedding,13562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3177021419334421,0.0009585606842648,0.0013272378705205,0.0005898834980091,0.3248783365285356,0.467482672172246,0.1822740008848252,0.4361451113405102,0.570712284323846,0.3015779383571744
29,StabMap,Embedding,13562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3177021419334421,0.0009585606842648,0.0013272378705205,0.0005898834980091,0.3248783365285356,0.467482672172246,0.1822740008848252,0.4361451113405102,0.570712284323846,0.3015779383571744
30,SeuratV5,Embedding,13562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0372368742603213,0.011871405397434,0.0137147913287125,0.0100280194661554,0.8424273705943076,0.8619672614658604,0.8228874797227548,0.8917563781153222,0.910780120926117,0.8727326353045274
31,SeuratV5,Embedding,13562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0372368742603213,0.011871405397434,0.0137147913287125,0.0100280194661554,0.8424273705943076,0.8619672614658604,0.8228874797227548,0.8917563781153222,0.910780120926117,0.8727326353045274
32,SeuratV5,Embedding,13562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0372368742603213,0.011871405397434,0.0137147913287125,0.0100280194661554,0.8424273705943076,0.8619672614658604,0.8228874797227548,0.8917563781153222,0.910780120926117,0.8727326353045274
33,SeuratV5,Embedding,13562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0372368742603213,0.011871405397434,0.0137147913287125,0.0100280194661554,0.8424273705943076,0.8619672614658604,0.8228874797227548,0.8917563781153222,0.910780120926117,0.8727326353045274
34,SeuratV5,Embedding,13562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0372368742603213,0.011871405397434,0.0137147913287125,0.0100280194661554,0.8424273705943076,0.8619672614658604,0.8228874797227548,0.8917563781153222,0.910780120926117,0.8727326353045274
