,method,Output,nCell,Batch_ASW_batch-RNA,Batch_ASW_site-RNA,graph_connectivity_batch-RNA,graph_connectivity_label-RNA,graph_connectivity_label.l1-RNA,graph_connectivity_cluster-RNA,graph_iLISI-RNA,ARI-RNA,ARI.l1-RNA,AMI-RNA,AMI.l1-RNA,graph_cLISI-RNA,graph_cLISI.l1-RNA,isolated_labels_ASW-RNA,isolated_labels_ASW.l1-RNA,Batch_ASW_batch-ATAC,Batch_ASW_site-ATAC,graph_connectivity_batch-ATAC,graph_connectivity_label-ATAC,graph_connectivity_label.l1-ATAC,graph_connectivity_cluster-ATAC,graph_iLISI-ATAC,ARI-ATAC,ARI.l1-ATAC,AMI-ATAC,AMI.l1-ATAC,graph_cLISI-ATAC,graph_cLISI.l1-ATAC,isolated_labels_ASW-ATAC,isolated_labels_ASW.l1-ATAC,FOSCTTM,nearest_cell_barcode,nearest_cell_barcode-RNA,nearest_cell_barcode-ATAC,nearest_cell_celltype,nearest_cell_celltype-RNA,nearest_cell_celltype-ATAC,nearest_cell_celltype.l1,nearest_cell_celltype.l1-RNA,nearest_cell_celltype.l1-ATAC,RNA,ATAC
18,LIGER_UINMF-louvain,Embedding,6924.0,0.815619959803644,0.8554437456521232,0.5838726524639377,0.9479793362152126,0.9745165481093884,1.0,0.3322743578159366,0.5061915063814735,0.455212519878651,0.6996374686289171,0.6573394018320672,0.9804788154233904,0.9829820078458916,0.57844803972187,0.5172422138472365,0.8232556980443922,0.8459670341150969,0.5652721414647075,0.6967853370037272,0.8208629414047401,1.0,0.4708671090907612,0.2705293227088398,0.3662681268606409,0.3722487170243431,0.4112650086241401,0.8947966915067804,0.8453293875198066,0.3959800548909932,0.4145643039679123,0.3826587275365017,0.0004332755632582,0.0005777007510109,0.0002888503755054,0.275635470826112,0.3809936452917389,0.1702772963604852,0.4323367995378394,0.523108030040439,0.3415655690352397,R100,A10
19,MaxFuse-louvain,Embedding,6924.0,0.8808391492291833,0.933905868394436,0.701732390892199,0.9015660745071984,0.92944575935128,1.0,0.4364119451551149,0.474435181416551,0.5639726530864515,0.6232989190866921,0.6551270692707928,0.90798901961147,0.8316145522024647,0.5886718542095773,0.5307866880055344,0.8260552968003365,0.8859058419762849,0.7033929406826132,0.8504108512694376,0.928990238706697,1.0,0.406236465356424,0.3481456462594413,0.4773643813193303,0.520758502726386,0.5638331514017356,0.9297939423887072,0.8947347782083955,0.5225305638211067,0.6070025848399816,0.2970702003196544,0.0010109763142692,0.0012998266897746,0.0007221259387637,0.4332033506643559,0.4699595609474292,0.3964471403812825,0.6011698440207972,0.6637781629116117,0.5385615251299827,R100,A10
20,MultiMAP-louvain,Embedding,6924.0,0.6356160743685904,0.8070754829897085,0.2198740186754814,0.6969795582740428,0.7785197171027332,1.0,0.3153880769117346,0.2232635298057846,0.2128287389661151,0.5337082849342372,0.5236884600433673,0.9578470514236712,0.9624896769230186,0.6494162449260443,0.5387887290777996,0.7101362490718478,0.8805990610341948,0.1365103423449268,0.455589570308003,0.6357460395810403,1.0,0.4426366543367277,0.1651565509414661,0.1714476539076433,0.3964848129990069,0.4014250361970262,0.9280845751765384,0.8823906414044697,0.4675286673402303,0.5639856185175226,0.2306014487239688,0.0010109763142692,0.0008665511265164,0.0011554015020219,0.4022241478913922,0.4705372616984402,0.3339110340843443,0.5918544194107452,0.6503466204506065,0.5333622183708839,R100,A10
21,pamona-louvain,Embedding,6924.0,0.6911225041236142,0.8782145855029894,0.1369920969284759,0.2467403815232485,0.4876881266688092,1.0,0.4690043133518337,0.0467817408648496,0.0431177983312316,0.1586431880160041,0.1457908637629167,0.8036865904029439,0.6749833891967022,0.4599807284383136,0.47681395024471,0.6195553881664626,0.8504266391435735,0.0328432878849124,0.0374504135151736,0.0430382071046292,1.0,0.5748316406409665,0.0050025911194535,0.004296244909792,0.0309067242814729,0.0220173798009112,0.6743792000569842,0.4333989781921483,0.4639147597697433,0.5255221155678031,0.5026198653967262,7.221259387637204e-05,0.0,0.0001444251877527,0.0966926632004621,0.091421143847487,0.1019641825534373,0.1443529751588677,0.1395147313691507,0.1491912189485846,R100,A10
22,SCALEX-louvain,Embedding,6924.0,0.8879064271828373,0.911055506062499,0.5682006889007445,0.94411165387439,0.9438403477313868,1.0,0.3485881880723036,0.586419437300496,0.5847550829080014,0.7063008787159751,0.6890651709705651,0.9673486361811244,0.9699451307227588,0.581367769568667,0.5122403779228493,0.8896736268051529,0.95845814056277,0.5872065996010748,0.6259244816182913,0.8241465860471787,1.0,0.479756496418757,0.2434350168537779,0.3016309385203588,0.3416078649655624,0.3743837494179621,0.8626474605461987,0.7897778514814693,0.4986261398114688,0.5406211905076584,0.2087520704280959,0.0017331022530329,0.0021663778162911,0.0012998266897746,0.4423743500866551,0.5122761409589832,0.372472559214327,0.6370595031773542,0.7315135759676488,0.5426054303870596,R100,A10
23,SeuratV3_CCA-louvain,Embedding,6924.0,0.9116726968074697,0.8734277963937174,0.7563283574831602,0.959517467538333,0.9766506924313664,1.0,0.1823290832867,0.444944312604606,0.4214198746913727,0.6639571776675529,0.6263751297559389,0.9661292238218492,0.966449712523718,0.5993276388562001,0.5318306775018644,0.8783415074256704,0.9066414789327332,0.467364828989764,0.7501616858733229,0.8566721632970434,1.0,0.38783338238268,0.2927299698175426,0.3335753417812425,0.5006368353964852,0.5077875439372701,0.9437918431513804,0.91495147300211,0.5063868693783592,0.5610459170830716,0.3327346070783861,0.0002888503755054,0.0004332755632582,0.0001444251877527,0.2546216060080878,0.3112362796071635,0.1980069324090121,0.4373194685153091,0.5150202195262854,0.3596187175043328,R100,A10
24,SeuratV4_RPCA-louvain,Embedding,6924.0,0.918433313129207,0.898679359623508,0.7876976859453405,0.9554104232035896,0.9668957166883227,1.0,0.1824474358930017,0.3979821940983672,0.3991397565154449,0.6392190397631147,0.6155234495184239,0.9661493608324732,0.9742974202421386,0.5923121461603186,0.5291839022283662,0.8157738578475933,0.9070853267980252,0.3537434935210202,0.7093430063437777,0.8382044286061302,1.0,0.4174535875399261,0.2470631637050651,0.2658566079354816,0.4742942820481946,0.4890633071909142,0.9285258339263504,0.892216880850493,0.4316984494135226,0.4880505941299249,0.1665570649698083,0.0015886770652801,0.0023108030040439,0.0008665511265164,0.4680098209127672,0.506787983824379,0.4292316580011554,0.6438474870017331,0.6611785095320624,0.6265164644714039,R100,A10
25,SIMBA-louvain,Embedding,6924.0,0.926816027442159,0.9308339134642544,0.7043810281230846,0.97017611273909,0.9710138097979556,1.0,0.255047034293762,0.5805304459818854,0.5230542648287594,0.7188294626083643,0.6652697695748155,0.9768754088922028,0.9782615172170832,0.5660144462941694,0.5114571413511882,0.8834735113408415,0.9511395378713476,0.5476671318016678,0.6913852773878326,0.8272989313267911,1.0,0.4463608309475393,0.2519839514337523,0.3152572126728379,0.365428609035536,0.3952261673701138,0.9063718309315912,0.8594535612794667,0.4962848384259448,0.5007776842636394,0.1962195872760325,0.0011554015020219,0.0007221259387637,0.0015886770652801,0.4146447140381282,0.4257654534950895,0.4035239745811669,0.5796504910456384,0.6169844020797227,0.542316580011554,R100,A10
26,unionCom-louvain,Embedding,6924.0,0.7555337305861702,0.838049731499823,0.3985219750214362,0.9034475075770748,0.9385802335311304,1.0,0.3131051518894952,0.3739134864126966,0.3225186440480496,0.6637703883151816,0.6130012313126857,0.9814735282975904,0.9887193605917232,0.391451170919233,0.4963646478327616,0.8688293055664625,0.9287928702498396,0.5474127920910291,0.3594678605980795,0.654567377776794,1.0,0.4129856236547644,0.0440693948219902,0.0499762691204029,0.0918733643172804,0.0922363893636681,0.779919747386337,0.6374525854058102,0.4392023651165583,0.5275698607383534,0.3534332874943974,0.0003610629693818,0.0005777007510109,0.0001444251877527,0.1559792027729636,0.2383015597920277,0.0736568457538994,0.2635759676487579,0.396735990756788,0.1304159445407279,R100,A10
27,uniPort-louvain,Embedding,6924.0,0.891402435125711,0.9449260823387644,0.4191048811798931,0.5659922277484775,0.7421966967336489,1.0,0.4648938164173253,0.2209602595147413,0.2595008974684397,0.3485789714539873,0.3708288284195102,0.90139922635451,0.8441439983277526,0.4380675177775262,0.4574820106733865,0.8961466489071211,0.8968951946709204,0.7818794858242958,0.9678936982034156,0.964789510741951,1.0,0.2764438305587855,0.6010378930309187,0.5929975760709291,0.733694997524503,0.7020261617521022,0.9776151392313728,0.9777942380473909,0.5730671528087687,0.5111487806572667,0.2157512270717713,0.001949740034662,0.0017331022530329,0.0021663778162911,0.4312536106296938,0.4054015020219526,0.457105719237435,0.6124350086655113,0.5798671288272674,0.6450028885037551,R100,A10
